제조사,중분류,소분류,차종
현대,경차,경차,아토스
현대,경차,경차,캐스퍼
현대,승용차,소형,포니
현대,승용차,소형,엑셀
현대,승용차,소형,엑센트
현대,승용차,소형,베르나
현대,승용차,소형,클릭
현대,승용차,준중형,I30
현대,승용차,준중형,벨로스터
현대,승용차,준중형,엘란트라
현대,승용차,준중형,아반떼
현대,승용차,준중형,아이오닉 HEV
현대,승용차,준중형,아이오닉 EV
현대,승용차,준중형,아이오닉 PHEV
현대,승용차,준중형,아이오닉 F/L
현대,승용차,중형,I40
현대,승용차,중형,쏘나타
현대,승용차,중형,아이오닉 6
현대,승용차,대형,에쿠스
현대,SUV,소형 SUV,코나
현대,SUV,소형 SUV,베뉴
현대,SUV,중형 SUV,아이오닉 5
현대,SUV,중형 SUV,투싼
현대,SUV,중형 SUV,넥쏘
현대,SUV,중형 SUV,싼타페
현대,SUV,중형 SUV,갤로퍼
현대,SUV,대형 SUV,테라칸
현대,SUV,대형 SUV,베라크루즈
현대,SUV,대형 SUV,맥스크루즈
현대,SUV,대형 SUV,팰리세이드
현대,SUV,대형 SUV,아이오닉 9
현대,RV/MPV,RV/MPV,라비타
현대,RV/MPV,RV/MPV,싼타모
현대,RV/MPV,RV/MPV,트라제 XG
현대,RV/MPV,RV/MPV,스타리아
현대,RV/MPV,RV/MPV,포레스트
현대,승합차,승합차,그레이스
현대,승합차,승합차,스타렉스
현대,트럭,소형 트럭,포터
현대,승합차,승합차,ST1
현대,트럭,소형 트럭,리베로
현대,승합차,승합차,쏠라티
현대,버스,버스,카운티
현대,트럭,준중형 트럭,마이티
현대,트럭,중형 트럭,메가트럭
현대,트럭,중형 트럭,파비스
현대,트럭,소형 트럭,싼타크루즈
현대,승용차,중형,G70
현대,승용차,준대형,G80
현대,승용차,대형,EQ900
현대,승용차,대형,G90
현대,SUV,중형 SUV,GV60
현대,SUV,중형 SUV,GV70
현대,SUV,대형 SUV,GV80
현대,버스,버스,에어로타운
현대,버스,버스,일렉시티
현대,버스,버스,에어로시티
현대,버스,버스,그린시티
현대,버스,버스,블루시티
현대,버스,버스,유니버스
기아,경차,경차,비스토
기아,경차,경차,모닝
기아,경차,경차,레이
기아,승용차,소형,브리사
기아,승용차,소형,프라이드
기아,승용차,소형,아벨라
기아,승용차,소형,리오
기아,승용차,준중형,세피아
기아,승용차,준중형,슈마
기아,승용차,준중형,스펙트라
기아,승용차,준중형,쎄라토
기아,승용차,준중형,포르테
기아,승용차,준중형,K3
기아,승용차,준중형,EV4
기아,승용차,준중형,쏘울
기아,승용차,중형,크레도스
기아,승용차,중형,옵티마
기아,승용차,중형,리갈
기아,승용차,중형,로체
기아,승용차,중형,K5
기아,승용차,중형,스팅어
기아,승용차,준대형,포텐샤
기아,승용차,준대형,K7
기아,승용차,준대형,K8
기아,승용차,대형,엔터프라이즈
기아,승용차,대형,오피러스
기아,승용차,대형,K9
기아,스포츠카,스포츠카,엘란
기아,SUV,소형 SUV,스토닉
기아,SUV,소형 SUV,니로
기아,SUV,소형 SUV,셀토스
기아,SUV,소형 SUV,레토나
기아,SUV,소형 SUV,EV3
기아,SUV,중형 SUV,EV5
기아,SUV,중형 SUV,EV6
기아,SUV,중형 SUV,스포티지
기아,SUV,중형 SUV,쏘렌토
기아,SUV,대형 SUV,모하비
기아,SUV,대형 SUV,EV9
기아,RV/MPV,RV/MPV,카렌스
기아,RV/MPV,RV/MPV,엑스트렉
기아,RV/MPV,RV/MPV,카스타
기아,RV/MPV,RV/MPV,카니발
기아,RV/MPV,RV/MPV,PV5
기아,트럭,소형 트럭,타스만
기아,승합차,승합차,타우너
기아,승합차,승합차,프레지오
기아,트럭,소형 트럭,봉고
기아,버스,버스,그랜버드
기아,트럭,중형 트럭,라이노
기아,버스,버스,코스모스
쉐보레,경차,경차,티코
쉐보레,경차,경차,마티즈
쉐보레,경차,경차,스파크
쉐보레,승용차,소형,르망
쉐보레,승용차,소형,씨에로
쉐보레,승용차,소형,넥시아
쉐보레,승용차,소형,라노스
쉐보레,승용차,소형,칼로스
쉐보레,승용차,소형,젠트라
쉐보레,승용차,소형,아베오
쉐보레,승용차,소형,볼트 EV
쉐보레,승용차,준중형,에스페로
쉐보레,승용차,준중형,누비라
쉐보레,승용차,준중형,라세티
쉐보레,승용차,준중형,크루즈
쉐보레,승용차,준중형,볼트 PHEV
쉐보레,승용차,중형,프린스
쉐보레,승용차,중형,레간자
쉐보레,승용차,중형,매그너스
쉐보레,승용차,중형,토스카
쉐보레,승용차,중형,말리부
쉐보레,승용차,준대형,브로엄
쉐보레,승용차,준대형,알페온
쉐보레,승용차,준대형,임팔라
쉐보레,승용차,대형,아카디아
쉐보레,승용차,대형,스테이츠맨
쉐보레,승용차,대형,베리타스
쉐보레,스포츠카,스포츠카,G2X
쉐보레,스포츠카,스포츠카,카마로
쉐보레,스포츠카,스포츠카,콜벳
쉐보레,SUV,소형 SUV,트랙스
쉐보레,SUV,소형 SUV,트레일블레이저
쉐보레,SUV,소형 SUV,볼트 EUV
쉐보레,SUV,중형 SUV,윈스톰
쉐보레,SUV,중형 SUV,캡티바
쉐보레,SUV,중형 SUV,이쿼녹스
쉐보레,SUV,중형 SUV,블레이저
쉐보레,SUV,대형 SUV,트래버스
쉐보레,SUV,대형 SUV,타호
쉐보레,RV/MPV,RV/MPV,레조
쉐보레,RV/MPV,RV/MPV,올란도
쉐보레,트럭,소형 트럭,콜로라도
쉐보레,트럭,소형 트럭,실버라도
쉐보레,승합차,승합차,다마스
쉐보레,트럭,소형 트럭,라보
르노코리아,경차,경차,트위지
르노코리아,승용차,소형,클리오
르노코리아,승용차,소형,조에
르노코리아,승용차,준중형,SM3
르노코리아,승용차,중형,SM5
르노코리아,승용차,중형,SM6
르노코리아,승용차,준대형,SM7
르노코리아,SUV,소형 SUV,QM3
르노코리아,SUV,소형 SUV,캡처
르노코리아,SUV,소형 SUV,XM3
르노코리아,SUV,소형 SUV,아르카나
르노코리아,SUV,중형 SUV,QM5
르노코리아,SUV,중형 SUV,QM6
르노코리아,SUV,중형 SUV,오스트랄
르노코리아,SUV,중형 SUV,그랑 콜레오스
르노코리아,SUV,중형 SUV,에스파스
르노코리아,승합차,승합차,마스터
KGM,승용차,대형,체어맨
KGM,SUV,소형 SUV,티볼리
KGM,SUV,소형 SUV,액티언
KGM,SUV,중형 SUV,무쏘
KGM,SUV,중형 SUV,코란도
KGM,SUV,중형 SUV,카이런
KGM,SUV,중형 SUV,토레스
KGM,SUV,대형 SUV,렉스턴
KGM,RV/MPV,RV/MPV,로디우스
BMW,승용차,소형,I3
BMW,승용차,준중형,1시리즈
BMW,승용차,준중형,2시리즈
BMW,승용차,중형,3시리즈
BMW,승용차,중형,4시리즈
BMW,승용차,중형,I4
BMW,승용차,준대형,5시리즈
BMW,승용차,준대형,6시리즈
BMW,승용차,준대형,그란투리스모
BMW,승용차,준대형,I5
BMW,승용차,대형,7시리즈
BMW,승용차,대형,8시리즈
BMW,승용차,대형,I7
BMW,스포츠카,스포츠카,1M
BMW,스포츠카,스포츠카,M2
BMW,스포츠카,스포츠카,M3
BMW,스포츠카,스포츠카,M4
BMW,스포츠카,스포츠카,M5
BMW,스포츠카,스포츠카,M6
BMW,스포츠카,스포츠카,M8
BMW,스포츠카,스포츠카,Z3
BMW,스포츠카,스포츠카,Z4
BMW,스포츠카,스포츠카,I8
BMW,SUV,소형 SUV,X1
BMW,SUV,소형 SUV,X2
BMW,SUV,중형 SUV,X3
BMW,SUV,중형 SUV,X4
BMW,SUV,대형 SUV,X5
BMW,SUV,대형 SUV,X6
BMW,SUV,대형 SUV,X7
BMW,SUV,대형 SUV,XM
BMW,SUV,대형 SUV,IX
벤츠,승용차,소형,A-클래스
벤츠,승용차,준중형,B-클래스
벤츠,승용차,중형,C-클래스
벤츠,승용차,중형,CLK-클래스
벤츠,승용차,중형,CLE
벤츠,승용차,준대형,E-클래스
벤츠,승용차,준대형,CLS-클래스
벤츠,승용차,준대형,EQE
벤츠,승용차,대형,S-클래스
벤츠,승용차,대형,EQS
벤츠,스포츠카,스포츠카,CL-클래스
벤츠,스포츠카,스포츠카,SLK-클래스
벤츠,스포츠카,스포츠카,SL-클래스
벤츠,스포츠카,스포츠카,AMG GT
벤츠,SUV,소형 SUV,EQA
벤츠,SUV,소형 SUV,EQB
벤츠,SUV,중형 SUV,GLK-클래스
벤츠,SUV,중형 SUV,EQC
벤츠,SUV,대형 SUV,M-클래스
벤츠,SUV,대형 SUV,마이바흐 GLS
벤츠,SUV,대형 SUV,G-클래스
벤츠,승합차,승합차,스프린터
아우디,승용차,소형,A1
아우디,승용차,준중형,A3
아우디,승용차,중형,A4
아우디,승용차,중형,A5
아우디,승용차,준대형,A6
아우디,승용차,준대형,A7
아우디,승용차,준대형,E-트론 GT
아우디,승용차,대형,A8
아우디,스포츠카,스포츠카,R8
아우디,스포츠카,스포츠카,TT
아우디,SUV,소형 SUV,Q2
아우디,SUV,중형 SUV,Q3
아우디,SUV,중형 SUV,Q4 E-TRON
아우디,SUV,중형 SUV,Q5
아우디,SUV,중형 SUV,Q6 E-TRON
아우디,SUV,대형 SUV,Q7
아우디,SUV,대형 SUV,Q8
아우디,SUV,대형 SUV,E-트론
볼보,승용차,소형,C30
볼보,승용차,준중형,S40
볼보,승용차,준중형,V40
볼보,승용차,준중형,V50
볼보,승용차,중형,S60
볼보,승용차,중형,V60
볼보,승용차,준대형,S80
볼보,승용차,준대형,S90
볼보,승용차,준대형,V90 크로스 컨트리
볼보,스포츠카,스포츠카,C70
볼보,SUV,소형 SUV,EX30
볼보,SUV,중형 SUV,C40 리차지
볼보,SUV,중형 SUV,EX40
볼보,SUV,중형 SUV,XC40
볼보,SUV,중형 SUV,XC60
볼보,SUV,중형 SUV,V70 XC
볼보,SUV,대형 SUV,XC90
볼보,SUV,대형 SUV,EX90
볼보,RV/MPV,RV/MPV,EM90
폭스바겐,승용차,소형,보라
폭스바겐,승용차,소형,뉴 비틀
폭스바겐,승용차,소형,더 비틀
폭스바겐,승용차,소형,시로코
폭스바겐,승용차,소형,폴로
폭스바겐,승용차,소형,ID.2ALL
폭스바겐,승용차,준중형,골프
폭스바겐,승용차,준중형,이오스
폭스바겐,승용차,준중형,제타
폭스바겐,승용차,준중형,ID.3
폭스바겐,승용차,중형,ID.7
폭스바겐,승용차,중형,CC
폭스바겐,승용차,중형,아테온
폭스바겐,승용차,중형,파사트
폭스바겐,승용차,대형,페이톤
폭스바겐,SUV,소형 SUV,T-크로스
폭스바겐,SUV,소형 SUV,티록
폭스바겐,SUV,중형 SUV,티구안
폭스바겐,SUV,중형 SUV,ID.4
폭스바겐,SUV,중형 SUV,ID.5
폭스바겐,SUV,대형 SUV,투아렉
폭스바겐,SUV,대형 SUV,아틀라스
폭스바겐,SUV,대형 SUV,ID.6
폭스바겐,RV/MPV,RV/MPV,ID.BUZZ
